movieinfo_id,Title,MPAARating,Rating,RATINGLONGDESC,REASON,DISTRIBUTOR
1,"Aquaman (2018)",PG-13,"Parental Guidance Suggested","Some Material may be inappropriate for children under 13","Rated PG-13 for sequences of sci-fi violence and action, and for some language.","Warner Bros. Pictures"
2,"Alita: Battle Angel (2019)",PG-13,"Parental Strongly Cautioned","Some Material may be inappropriate for children under 13","Rated PG-13 for sequences of sci-fi violence and action, and for some language.","Twentieth Century Fox Film Corp."
3,"Wonder Woman (2017)",PG-13,"General Audiences","Some Material may be inappropriate for children under 13","Rated PG-13 for sequences of violence and action, and some suggestive content.","Warner Bros. Pictures"
4,"Wonder Woman (2008)",PG-13,"Parental Strongly Cautioned","Some Material may be inappropriate for children under 13","Rated PG-13 for violence throughout and some suggestive material.","Warner Home Video"
5,"Wonder Woman: Bloodlines (2019)",PG-13,"General Audiences","Some Material may be inappropriate for children under 13","Rated PG-13 for sequences of fantasy action and violence, and some bloody images.","Warner Bros. Home Entertainment"
6,"Wonder Woman: Director's Cut (2017)",R,Restricted,"Under 17 Requires Accompanying Parent or Adult Guardian ","Rated R for some violence.","Warner Home Entertainment, Inc."
7,"Avengers: Endgame (2019)",PG-13,"Parental Strongly Cautioned","Some Material may be inappropriate for children under 13","Rated PG-13 for sequences of sci-fi violence and action, and some language.","Walt Disney Studios Motion Pictures"
8,"Avengers: Infinity War (2018)",PG-13,"Parental Strongly Cautioned","Some Material may be inappropriate for children under 13","Rated PG-13 for intense sequences of sci-fi violence and action throughout, language and some crude references.","Walt Disney Studios Motion Pictures"
9,"Avengers: Age Of Ultron (2015)",PG-13,"Parental Strongly Cautioned","Some Material may be inappropriate for children under 13","Rated PG-13 for intense sequences of sci-fi action, violence and destruction, and for some suggestive comments.","Walt Disney Studios Motion Pictures"
10,"Avengers Confidential: Black Widow & Punisher (2014)",PG-13,"General Audiences","Some Material may be inappropriate for children under 13","Rated PG-13 for sequences of action violence.","Sony Pictures Worldwide Acquisitions Inc."
11,"Avengers, The (1998)",PG-13,"General Audiences","Some Material may be inappropriate for children under 13","Rated PG-13 for brief strong language.","Warner Bros., A Division Of Time Warner Entertainment Company"
12,"Marvel's The Avengers (2012)",PG-13,"General Audiences","Some Material may be inappropriate for children under 13","Rated PG-13 for intense sequences of sci-fi violence and action throughout, and a mild drug reference.","Walt Disney Studios Motion Pictures"
13,"Next Avengers: Heroes Of Tomorrow (2008)",PG,"Parental Guidance Suggested","Some Material may not be suitable for children","Rated PG for sci-fi action violence and some mild language.",Lionsgate
14,"Ultimate Avengers II (2006)",PG-13,"General Audiences",NULL,"Rated PG-13 for intense acton violence.",Lionsgate
15,"Ultimate Avengers (2005)",PG-13,"General Audiences","Some Material may be inappropriate for children under 14","Rated PG-13 for action violence.","Lions Gate Home Entertainment"
16,"Scavengers (1987)",PG-13,"Parental Strongly Cautioned","Some Material may be inappropriate for children under 15",NULL,"Triax Entertainment Group, Inc"
17,"Three Avengers, The (1981)",R,Restricted,"Under 17 Requires Accompanying Parent or Adult Guardian ",NULL,"World Northal Corp."
18,"Lucky Johnny--Born In America (1973)",R,Restricted,"Under 17 Requires Accompanying Parent or Adult Guardian ",NULL,"Synchrofilm, Inc."
19,"Scavengers, The (1970)",R,Restricted,"Under 17 Requires Accompanying Parent or Adult Guardian ",NULL,"Republic Amusements"
20,"Toy Story (1995)",G,"General Audiences",NULL,NULL,"Buena Vista Pictures Distribution, Inc."
21,"Toy Story 4 (2019)",G,"General Audiences",NULL,NULL,"Walt Disney Studios Motion Pictures"
22,"Toy Story 3 (2010)",G,"General Audiences",NULL,NULL,"Walt Disney Studios Motion Pictures"
23,"Toy Story 2 (1999)",G,"General Audiences",NULL,NULL,"Buena Vista Pictures Distribution"
24,"John Wick (2014)",R,NULL,"Rated R for strong and bloody violence throughout, language and brief drug use.",NULL,"Summit Entertainment"
25,"John Wick: Chapter 3 â€“ Parabellum (2019)",R,NULL,"Rated R for pervasive strong violence, and some language.",NULL,"Summit Entertainment"
26,"John Wick: Chapter Two (2017)",R,NULL,"Rated R for strong violence throughout, some language and brief nudity.",NULL,"Summit Entertainment"
